S.No.,Name,CMP Rs.,TruFace Rs.,Mar Cap Rs.Cr. ,Sales Rs.Cr.,spe %,NP 12M Rs.Cr.,EPS 12M Rs.,P/E,Div Yld %,CMP / BV,Vol 1d,Face value Rs.,B.V. Rs.,QoQ Profits %,No. Eq. Shares Cr.,Debt / Eq
369,Finolex Inds.,286,143,17745.64,4278.75,4.15,849.62,13.69,33.90,0.52,3.20,1437937,2,89.25,212.95,62.05,0.07
370,HBL Power System,639,639,17712.76,2286.04,7.75,308.61,11.16,54.06,0.08,14.51,3001585,1,44.03,-1.50,27.72,0.06
371,Karur Vysya Bank,216.99,108.5,17459.27,8605.56,2.03,1704.83,21.21,10.24,1.11,1.74,1112993,2,124.83,0.56,80.46,9.12
372,Tata Tele. Mah.,89.26,8.93,17449.71,1229.64,14.19,-1250.66,-6.4,,0.00,,7207656,10,-98.49,-4.55,195.49,
373,Indian Energy Ex,194.82,194.82,17371.96,468.67,37.07,360.72,4.05,48.16,1.28,18.32,15363966,1,10.63,-1.77,89.17,0.01
374,Sobha,1718.5,171.85,17321.11,2829.43,6.50,43.12,4.03,401.70,0.17,7.31,217080,10,234.96,-13.80,10.7,0.77
375,Sonata Software,615.65,615.65,17264.35,9124.96,1.89,294,10.48,41.77,1.28,12.28,849100,1,50.15,-4.29,28.04,0.54
376,I D F C,107.83,10.78,17252.63,50.68,340.43,867.25,5.42,19.89,0.93,1.29,2855723,10,83.63,-75.33,160,0.00
377,KFin Technolog.,1005.45,100.55,17225.36,893.59,19.27,270.75,15.85,63.62,0.57,15.07,818852,10,66.73,-8.59,17.13,0.04
378,IIFL Finance,404.95,202.48,17177.61,10591.32,1.62,1839.5,38.37,10.56,0.99,1.61,596789,2,250.93,-21.47,42.42,4.43
379,TBO Tek,1575.9,1575.9,17112.35,1392.82,12.29,200.58,19.39,83.97,0.00,,432534,1,,31.29,10.86,0.39
380,Concord Biotech,1634.2,1634.2,17096.38,1037.92,16.47,314.49,30.06,54.36,0.54,11.21,102470,1,145.79,-40.09,10.46,0.01
381,Manappuram Fin.,201.78,100.89,17079.36,9314.18,1.83,2255.97,26.55,7.60,1.76,1.48,8260997,2,136.43,-1.24,84.64,2.97
382,Welspun Living,175.56,175.56,17061.07,10031.68,1.70,695.96,7.25,24.74,0.06,3.78,1524403,1,46.47,42.44,97.18,0.58
383,Chalet Hotels,780.35,78.04,17019.45,1467.49,11.60,250.16,12.01,68.04,0.00,8.66,81073,10,90.1,-26.43,21.81,1.62
